Bulgarian,bulgare,Bulgarisch,Bulgaro,Búlgaro,bułgarski
Spanish,espagnol,Spanisch,Spagnolo,Español,hiszpański
Czech,tchèque,Tschechisch,Ceco,Checo,czeski
Danish,danois,Dänisch,Danese,Danés,duński
German,allemand,Deutsch,Tedesco,Alemán,niemiecki
Estonian,estonien,Estnisch,Estone,Estonio,estoński
Greek,grec,Griechisch,Greco,Griego,grecki
English,anglais,Englisch,Inglese,Inglés,angielski
French,français,Französisch,Francese,Francés,francuski
Irish,gaélique,Irisch,Irlandese,Irlandés,irlandzki
Croatian,croate,Kroatisch,Croato,Croata,chorwacki
Italian,italien,Italienisch,Italiano,Italiano,włoski
Latvian,letton,Lettisch,Lettone,Letón,łotewski
Lithuanian,lituanien,Litauisch,Lituano,Lituano,litewski
Hungarian,hongrois,Ungarisch,Ungherese,Húngaro,węgierski
Maltese,maltais,Maltesisch,Maltese,Maltés,maltański
Dutch,néerlandais,Niederländisch,Olandese,Neerlandés,holenderski
Polish,polonais,Polnisch,Polacco,Polaco,polski
Portuguese,portugais,Portugiesisch,Portoghese,Portugués,portugalski
Romanian,roumain,Rumänisch,Rumeno,Rumano,rumuński
Slovak,slovaque,Slowakisch,Slovacco,Eslovaco,słowacki
Slovenian,slovène,Slowenisch,Sloveno,Esloveno,słoweński
Finnish,finnois,Finnisch,Finlandese,Finés,fiński
Swedish,suédois,Schwedisch,Svedese,Sueco,szwedzki
Other language,autre langue,Sonstige Sprachen,Altra lingua,Otro idioma,inny język
