Administration,Administration,Verwaltung,Amministrazione,Administración,Administracja
Agriculture and Farming,Agriculture et élevage,Landwirtschaft,Agricoltura e aziende agricole,Agricultura y ganadería,Rolnictwo i hodowla
Biodiversity,Biodiversité,Biodiversität,Biodiversità,Biodiversidad,Bioróżnorodność
Broadband,Haut débit,Breitband,Banda larga,Banda ancha,Sieci szerokopasmowe
Climate,Climat,Klima,Clima,Clima,Klimat
Communication,Communication,Kommunikation,Comunicazione,Comunicación,Komunikacja
Cooperation,Coopération,Zusammenarbeit,Cooperazione,Cooperación,Współpraca
Culture,Culture,Kultur,Cultura,Cultura,Kultura
Demography,Démographie,Demografie,Demografia,Demografía,Demografia
Diversification,Diversification,Diversifizierung,Diversificazione,Diversificación,Dywersyfikacja
Education and Research,Education et recherche,Bildung und Forschung,Istruzione e ricerca,Educación e investigación,Edukacja i badania
Evaluation,Évaluation,Bewertung,Valutazione,Evaluación,Ocena
Food and Drink,Alimentations et boissons,Ernährung,Settore agroalimentare,Alimentación y bebidas,Żywność i napoje
Forestry,Sylviculture,Forstwirtschaft,Silvicoltura,Bosques,Leśnictwo
Infrastructure,Infrastructure,Infrastruktur,Infrastrutture,Infraestructuras,Infrastruktura
Innovation,Innovation,Innovation,Innovazione,Innovación,Innowacyjność
Investments,Investissements,Investitionen,Investimenti,Inversiones,Inwestycje
LEADER-CLLD,LEADER-CLLD,LEADER-CLLD,LEADER-SLTP,LEADER-CLLD,LEADER–RLKPS
Monitoring,Suivi,Begleitung,Monitoraggio,Seguimiento,Monitorowanie
Natural Resources,Ressources naturelles,Natürliche Ressourcen,Risorse naturali,Recursos naturales,Zasoby naturalne
"NRN, Netorking, NSU","RRN, Réseaux, Unités de soutien aux réseaux","NRN, Networking, Vernetzungsstelle","RRN, Attività di rete e USR","RRN, Trabajo en red, UAR","KSOW, Sieciowanie, Jednostka wsparcia sieci (NSU)"
Renewable energies,Energies renouvelables,Erneuerbare Energien,Energie rinnovabili,Energías renovables,Energia ze źródeł odnawialnych
Social,Social,Soziales,Sociale,Aspectos sociales,Aspekty społeczne
Sustainability,Développement durable,Nachhaltigkeit,Sostenibilità,Sostenibilidad,Zrównoważony rozwój
Tourism,Tourisme,Tourismus,Turismo,Turismo,Turystyka
Urban-Rural,Urbain-rural,Stadt-Land,Urbano-rurale,Urbano-Rural,Powiązania wiejsko-miejskie
